time,init_utc,cycle,basin,mm_6h
2018-12-15T06:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_07_UpperMiss,7.756923265321896e-05
2018-12-15T06:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_10_Missouri,0.0005507483612984187
2018-12-15T12:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_07_UpperMiss,5.389164127507343e-05
2018-12-15T12:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_10_Missouri,0.00011631468619941824
2018-12-15T18:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00010499546589864359
2018-12-15T18:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_10_Missouri,5.258097196888975e-05
2018-12-16T00:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0034807880836743945
2018-12-16T00:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_10_Missouri,0.001906354081731507
2018-12-16T06:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_07_UpperMiss,3.859185418805957e-05
2018-12-16T06:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_10_Missouri,0.0009072694198611557
2018-12-16T12:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_07_UpperMiss,0.004010341963185828
2018-12-16T12:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_10_Missouri,0.0007561884722040327
2018-12-16T18:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_07_UpperMiss,7.968174179305314e-05
2018-12-16T18:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_10_Missouri,0.0007033942529713471
2018-12-17T00:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_07_UpperMiss,5.461173850908173e-06
2018-12-17T00:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_10_Missouri,0.00019645269445402972
2018-12-17T06:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_07_UpperMiss,4.685645372750693e-05
2018-12-17T06:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_10_Missouri,0.0005733397645060294
2018-12-17T12:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_07_UpperMiss,7.866532010298842e-05
2018-12-17T12:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_10_Missouri,1.573840502939666e-05
2018-12-17T18:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0001258949751570109
2018-12-17T18:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_10_Missouri,0.00019489888137109787
2018-12-18T00:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00018951558343611815
2018-12-18T00:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_10_Missouri,0.00014841549519694356
2018-12-18T06:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00016310640655804837
2018-12-18T06:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_10_Missouri,0.000912846524166975
2018-12-18T12:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0007534085126760842
2018-12-18T12:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_10_Missouri,0.0001014420634466935
2018-12-18T18:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_07_UpperMiss,7.167980861063568e-06
2018-12-18T18:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_10_Missouri,0.0008269287396065302
2018-12-19T00:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_07_UpperMiss,9.819651531019029e-05
2018-12-19T00:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_10_Missouri,0.0011542088346516018
2018-12-19T06:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0006171339317335042
2018-12-19T06:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_10_Missouri,0.0014735149854082515
2018-12-19T12:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0007985408182893775
2018-12-19T12:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_10_Missouri,6.875468126289069e-05
2018-12-19T18:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_07_UpperMiss,8.704058715014551e-05
2018-12-19T18:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_10_Missouri,1.6411367171836313e-05
2018-12-20T00:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00028375113756927206
2018-12-20T00:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_10_Missouri,0.00011116693130087022
2018-12-20T06:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0021951143266040595
2018-12-20T06:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_10_Missouri,0.0008979017201610813
2018-12-20T12:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_07_UpperMiss,0.001083830684400623
2018-12-20T12:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_10_Missouri,0.0010986625666280204
2018-12-20T18:00:00+00:00,2018-12-05T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0015200267304783658
