time,init_utc,cycle,basin,mm_6h
2018-12-08T12:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_07_UpperMiss,2.3914003862471278e-05
2018-12-08T12:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_10_Missouri,0.00023544433534341232
2018-12-08T18:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00012857202514442636
2018-12-08T18:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_10_Missouri,2.4513129414175652e-05
2018-12-09T00:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_07_UpperMiss,1.6024517086356363e-05
2018-12-09T00:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_10_Missouri,0.00041168251341609476
2018-12-09T06:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_07_UpperMiss,3.950136255084963e-05
2018-12-09T06:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_10_Missouri,0.0006186259242292291
2018-12-09T12:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_07_UpperMiss,6.785520095980955e-05
2018-12-09T12:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_10_Missouri,9.880587249359394e-06
2018-12-09T18:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_07_UpperMiss,3.917336252472846e-05
2018-12-09T18:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_10_Missouri,4.728656284342853e-06
2018-12-10T00:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_07_UpperMiss,1.2953264274777363e-05
2018-12-10T00:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_10_Missouri,2.491020350371449e-06
2018-12-10T06:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_07_UpperMiss,4.001786026070931e-05
2018-12-10T06:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_10_Missouri,5.735811597163196e-05
2018-12-10T12:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_07_UpperMiss,5.326690637523666e-05
2018-12-10T12:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_10_Missouri,1.0779898302888779e-06
2018-12-10T18:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_07_UpperMiss,9.058118712912932e-05
