time,init_utc,cycle,basin,mm_6h
2018-12-01T18:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_07_UpperMiss,0.005253308731265744
2018-12-01T18:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_10_Missouri,0.009678864910084992
2018-12-02T00:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_07_UpperMiss,0.003671069588639939
2018-12-02T00:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_10_Missouri,0.007252594691005767
2018-12-02T06:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_07_UpperMiss,0.002445502257605309
2018-12-02T06:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_10_Missouri,0.005166587245963985
2018-12-02T12:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0015879779884559486
2018-12-02T12:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_10_Missouri,0.003102454129353436
2018-12-02T18:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_07_UpperMiss,0.001333211774789819
2018-12-02T18:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_10_Missouri,0.001773562057113234
2018-12-03T00:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0006980782182805944
2018-12-03T00:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_10_Missouri,0.0012400772209327558
2018-12-03T06:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0006693476365241909
2018-12-03T06:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_10_Missouri,0.0006728048021562544
2018-12-03T12:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00044359590883374695
2018-12-03T12:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_10_Missouri,0.0004322380229476013
2018-12-03T18:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00023503198457123034
2018-12-03T18:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_10_Missouri,0.0003127631799922536
2018-12-04T00:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0002154703746444255
2018-12-04T00:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_10_Missouri,0.0004703606361633038
2018-12-04T06:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_07_UpperMiss,7.598854759283847e-05
2018-12-04T06:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_10_Missouri,0.0003688714576713669
2018-12-04T12:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_07_UpperMiss,8.434112913971618e-05
2018-12-04T12:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_10_Missouri,0.00024168517911460807
2018-12-04T18:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0001361635116628321
2018-12-04T18:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_10_Missouri,9.571825776167418e-05
2018-12-05T00:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00017357209848154997
2018-12-05T00:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_10_Missouri,5.918253012795861e-05
2018-12-05T06:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00014786515684806384
2018-12-05T06:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_10_Missouri,4.122309463764965e-05
2018-12-05T12:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0001670889881622012
2018-12-05T12:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_10_Missouri,0.00014892318815414542
2018-12-05T18:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00015852341361691517
2018-12-05T18:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_10_Missouri,0.0003756481885392708
2018-12-06T00:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00021205072491818449
2018-12-06T00:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_10_Missouri,0.0004064098598680907
2018-12-06T06:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00013313265051072805
2018-12-06T06:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_10_Missouri,0.0005191526602943944
2018-12-06T12:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00023822233094629043
2018-12-06T12:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_10_Missouri,0.0006337095729515494
2018-12-06T18:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0007620170159129003
2018-12-06T18:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_10_Missouri,0.00019492605244792873
2018-12-07T00:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_07_UpperMiss,9.914838859655945e-05
2018-12-07T00:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_10_Missouri,9.476544336020301e-05
2018-12-07T06:00:00+00:00,2018-12-05T12:00:00+00:00,12,HUC2_07_UpperMiss,1.1162280551026195e-05
2018-12-07T06:00:00+00:00,2018-12-05T12:00:00+00:00,12,HUC2_10_Missouri,3.299848677234077e-05
2018-12-07T12:00:00+00:00,2018-12-05T18:00:00+00:00,18,HUC2_07_UpperMiss,1.6809659502743704e-05
2018-12-07T12:00:00+00:00,2018-12-05T18:00:00+00:00,18,HUC2_10_Missouri,3.3308467123000566e-05
2018-12-07T18:00:00+00:00,2018-12-06T00:00:00+00:00,00,HUC2_07_UpperMiss,2.3731156305047214e-05
2018-12-07T18:00:00+00:00,2018-12-06T00:00:00+00:00,00,HUC2_10_Missouri,3.663377447421439e-05
2018-12-08T00:00:00+00:00,2018-12-06T06:00:00+00:00,06,HUC2_07_UpperMiss,6.41643286060814e-05
2018-12-08T00:00:00+00:00,2018-12-06T06:00:00+00:00,06,HUC2_10_Missouri,7.12595639720172e-05
2018-12-08T06:00:00+00:00,2018-12-06T12:00:00+00:00,12,HUC2_07_UpperMiss,1.2108510510392642e-05
2018-12-08T06:00:00+00:00,2018-12-06T12:00:00+00:00,12,HUC2_10_Missouri,3.3812758423211956e-05
2018-12-08T12:00:00+00:00,2018-12-06T18:00:00+00:00,18,HUC2_07_UpperMiss,3.226354129289286e-06
